BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
3,Panathur,2.80,14286.0,1960.0,10+,Unfurnished,,May be not,3,3,,Bangalore
3,Thanisandra,1.41,8418.0,1675.0,10,Unfurnished,East,Available,2,2,"Garden/Park, Main Road",Bangalore
3,Panathur,2.55,13316.0,1915.0,7,Unfurnished,East,Available,3,3,"Garden/Park, Pool, Main Road",Bangalore
3,Gunjur,2.08,11200.0,1857.0,10+,Unfurnished,East,Available,2,1,"Garden/Park, Pool, Main Road",Bangalore
3,Panathur,2.40,14898.0,1611.0,10+,Unfurnished,East,Available,3,2,Garden/Park,Bangalore
2,Sarjapur Road,1.36,10500.0,1295.0,2,Unfurnished,East,Available,2,1,"Garden/Park, Pool, Main Road",Bangalore
2,Sarjapur Road,1.32,10154.0,1300.0,8,Unfurnished,East,Available,2,1,"Garden/Park, Pool",Bangalore
2,Sarjapur Road,1.36,10089.0,1348.0,2,Unfurnished,East,Available,2,1,"Garden/Park, Pool",Bangalore
1,others,1.10,16641.0,661.0,10+,Unfurnished,,May be not,1,1,,Bangalore
3,Gunjur,1.60,9524.0,1680.0,5,Unfurnished,,May be not,3,2,,Bangalore
2,Gunjur,1.30,11008.0,1181.0,8,Unfurnished,,May be not,2,2,,Bangalore
3,Bagaluru,1.59,9300.0,1720.0,,Unfurnished,,May be not,3,2,,Bangalore
1,Sarjapur Road,0.932,13326.0,699.0,,Unfurnished,,May be not,1,1,,Bangalore
2,others,1.53,10514.0,1458.0,,Unfurnished,,May be not,2,1,,Bangalore
2,Thanisandra Main Road,1.12,9396.0,1192.0,,Unfurnished,,May be not,2,1,,Bangalore
3,others,2.39,18893.0,1265.0,,Unfurnished,,May be not,3,1,,Bangalore
3,Thanisandra Main Road,1.75,11090.0,1578.0,,Unfurnished,,May be not,3,2,,Bangalore
2,Whitefield,1.74,11821.0,1472.0,,Unfurnished,,May be not,2,2,,Bangalore
2,others,0.975,5013.0,1945.0,,Unfurnished,,May be not,2,1,,Bangalore
3,Thanisandra Main Road,1.69,10710.0,1578.0,,Unfurnished,,May be not,2,2,,Bangalore
3,Bagaluru,1.71,10240.0,1670.0,,Unfurnished,,May be not,3,2,,Bangalore
3,Whitefield,2.55,12964.0,1970.0,,Unfurnished,,May be not,3,3,,Bangalore
2,Thanisandra Main Road,1.13,10367.0,1090.0,,Unfurnished,,May be not,2,1,,Bangalore
3,Sarjapur Road,1.55,7123.0,2178.0,,Unfurnished,,Available,3,,,Bangalore
2,Yelahanka,0.78,7895.0,988.0,,Unfurnished,,Available,2,,,Bangalore
1,Thanisandra,0.774,10830.0,715.0,7,Unfurnished,,Available,1,,,Bangalore
3,Outer Ring Road,1.54,8114.0,1898.0,,Unfurnished,,Available,3,,,Bangalore
2,others,0.534,5000.0,1068.0,,Unfurnished,,Available,2,,,Bangalore
2,Krishnarajapura,1.40,10666.0,1320.0,,Unfurnished,,Available,2,,,Bangalore
2,Gunjur,1.35,10385.0,1300.0,9,Unfurnished,East,Available,2,1,Main Road,Bangalore
3,Panathur,2.20,11488.0,1915.0,3,Unfurnished,,May be not,3,2,,Bangalore
3,Gunjur,1.60,9524.0,1680.0,1,Unfurnished,East,Available,2,2,"Pool, Garden/Park, Main Road",Bangalore
2,Gunjur,1.26,9376.0,1344.0,5,Unfurnished,East,Available,2,1,"Garden/Park, Pool",Bangalore
3,Jakkur,2.80,13896.0,2015.0,1,Unfurnished,East,Available,3,4,Main Road,Bangalore
3,Whitefield,2.03,10598.0,1920.0,,Unfurnished,,May be not,2,,,Bangalore
2,Whitefield,1.06,7946.0,1334.0,2,Unfurnished,East,Available,2,1,"Garden/Park, Pool, Main Road",Bangalore
2,Thanisandra Main Road,1.26,9452.0,1333.0,,Unfurnished,,Available,2,,,Bangalore
3,Sarjapur Road,1.77,9500.0,1864.0,,Unfurnished,,May be not,3,,,Bangalore
2,others,1.20,10256.0,1170.0,10+,Semi-Furnished,East,Available,2,1,"Garden/Park, Pool, Main Road",Bangalore
2,others,1.14,9200.0,1240.0,,Unfurnished,,May be not,2,,,Bangalore
2,Whitefield,1.59,11368.0,1405.0,,Unfurnished,,Available,2,,,Bangalore
1,Thanisandra,0.644,9000.0,715.0,,Unfurnished,,May be not,1,,,Bangalore
3,Gunjur,1.56,8575.0,1820.0,10+,Unfurnished,West,May be not,3,3,Main Road,Bangalore
3,others,1.30,10833.0,1200.0,1,Semi-Furnished,East,Available,3,3,Main Road,Bangalore
2,others,0.84,5813.0,1445.0,3,Unfurnished,North,Available,2,2,"Garden/Park, Main Road",Bangalore
2,others,0.887,8730.0,1016.0,1,Unfurnished,East,Available,2,1,"Garden/Park, Pool, Main Road",Bangalore
2,others,0.778,6593.0,1180.0,4,Semi-Furnished,East,Available,2,3,"Garden/Park, Pool",Bangalore
2,others,0.43,6073.0,708.0,,Unfurnished,,Available,2,,,Bangalore
1,Sarjapura,0.42,8400.0,500.0,2,Semi-Furnished,East,Available,1,1,Pool,Bangalore
3,others,2.24,10500.0,2135.0,3,Unfurnished,East,Available,3,3,"Garden/Park, Pool",Bangalore
3,others,1.45,8923.0,1625.0,3,Semi-Furnished,East,Available,3,1,Garden/Park,Bangalore
3,others,0.99,6828.0,1450.0,10+,Unfurnished,East,Available,3,1,"Garden/Park, Pool, Main Road",Bangalore
3,others,1.73,9551.0,1815.0,,Unfurnished,,May be not,3,,,Bangalore
3,others,1.06,7200.0,1480.0,,Unfurnished,,May be not,3,,,Bangalore
