BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
2,others,0.9490000000000001,7525.0,1261.0,10,Unfurnished,North,Available,2,2,"Garden/Park, Pool",Bangalore
3,Whitefield,3.95,16057.0,2460.0,10+,Unfurnished,North - West,May be not,4,1,"Garden/Park, Pool, Main Road",Bangalore
3,others,1.45,10147.0,1429.0,10,Unfurnished,East,May be not,3,1,Main Road,Bangalore
2,Hennur Main Road,0.836,7100.0,1177.0,4,Unfurnished,North,Available,2,1,"Pool, Garden/Park, Main Road",Bangalore
2,others,0.6,8065.0,744.0,8,Unfurnished,East,May be not,2,1,"Garden/Park, Main Road",Bangalore
3,others,1.10,6905.0,1593.0,2,Unfurnished,North - East,Available,3,3,Main Road,Bangalore
3,others,0.99,7164.0,1382.0,2,Unfurnished,West,Available,3,1,"Garden/Park, Pool, Main Road",Bangalore
3,others,1.25,9370.0,1334.0,8,Unfurnished,North,May be not,3,1,Garden/Park,Bangalore
3,others,1.90,11515.0,1650.0,4,Unfurnished,East,Available,3,3,Garden/Park,Bangalore
3,others,2.70,10953.0,2465.0,10,Unfurnished,West,Available,4,2,"Garden/Park, Pool, Main Road",Bangalore
2,others,0.7,8353.0,838.0,5,Unfurnished,East,Available,2,1,Garden/Park,Bangalore
3,others,6.20,15122.0,4100.0,10+,Semi-Furnished,West,Available,4,2,"Garden/Park, Pool",Bangalore
3,Hennur Main Road,2.58,9817.0,2628.0,10+,Unfurnished,East,Available,3,1,Garden/Park,Bangalore
3,HSR Layout,2.59,14000.0,1850.0,7,Unfurnished,East,May be not,3,3,"Garden/Park, Pool, Main Road",Bangalore
3,others,1.80,9240.0,1948.0,9,Unfurnished,East,May be not,4,2,"Garden/Park, Pool",Bangalore
2,Hennur Main Road,1.30,10860.0,1197.0,1,Furnished,East,Available,2,1,"Garden/Park, Pool, Main Road",Bangalore
3,others,1.56,9150.0,1705.0,10+,Semi-Furnished,North - East,Available,3,2,"Garden/Park, Pool, Main Road",Bangalore
3,others,0.92,6093.0,1510.0,2,Unfurnished,North,Available,2,1,Main Road,Bangalore
2,Bagaluru,0.75,9025.0,831.0,2,Unfurnished,East,May be not,3,,Main Road,Bangalore
3,Thanisandra Main Road,2.65,13520.0,1960.0,10+,Unfurnished,North,May be not,3,2,"Garden/Park, Pool",Bangalore
3,others,2.50,12340.0,2026.0,3,Semi-Furnished,North,May be not,3,4+,Garden/Park,Bangalore
4,others,13.65,21667.0,6300.0,1,Semi-Furnished,East,Available,4+,3,"Garden/Park, Main Road",Bangalore
2,Thanisandra Main Road,1.07,9000.0,1189.0,5,Unfurnished,East,Available,2,1,Main Road,Bangalore
3,Whitefield,4.75,17254.0,2753.0,9,Semi-Furnished,East,Available,2,2,"Garden/Park, Main Road",Bangalore
3,others,1.25,6106.0,2047.0,1,Semi-Furnished,South,Available,3,3,,Bangalore
3,others,1.10,6675.0,1648.0,4,Unfurnished,North,Available,2,1,Main Road,Bangalore
3,others,3,16630.0,1804.0,10,Unfurnished,North - East,May be not,3,1,"Garden/Park, Pool",Bangalore
2,Krishnarajapura,0.583,5300.0,1100.0,3,Semi-Furnished,North,Available,2,1,Main Road,Bangalore
3,others,5.50,18182.0,3025.0,4,Semi-Furnished,,Available,4,3,Main Road,Bangalore
3,Whitefield,3.10,13995.0,2215.0,10+,Semi-Furnished,East,May be not,3,,"Garden/Park, Pool",Bangalore
2,others,0.748,6500.0,1151.0,4,Unfurnished,North,Available,2,1,"Garden/Park, Main Road",Bangalore
4,others,7,15801.0,4430.0,10+,Furnished,North,Available,4,4,"Garden/Park, Pool, Main Road",Bangalore
3,others,1.85,12333.0,1500.0,10+,Unfurnished,East,Available,3,2,"Garden/Park, Main Road",Bangalore
2,Whitefield,0.75,6522.0,1150.0,4,Semi-Furnished,West,Available,2,2,Garden/Park,Bangalore
1,others,0.34,4250.0,800.0,4,Unfurnished,North,Available,1,,,Bangalore
1,others,0.7,11570.0,605.0,10+,Unfurnished,,May be not,1,,,Bangalore
2,HSR Layout,0.985,7296.0,1350.0,2,Unfurnished,East,May be not,2,3,Main Road,Bangalore
3,others,0.54,3913.0,1380.0,2,Unfurnished,East,May be not,3,2,"Garden/Park, Pool, Main Road",Bangalore
3,others,4.15,15091.0,2750.0,2,Semi-Furnished,East,Available,3,3,Garden/Park,Bangalore
4+,HSR Layout,1.80,7500.0,2400.0,10+,Semi-Furnished,East,May be not,4+,,"Garden/Park, Main Road",Bangalore
2,Yelahanka,1.08,8926.0,1210.0,6,Unfurnished,East,Available,2,1,Garden/Park,Bangalore
2,others,0.53,4711.0,1125.0,2,Semi-Furnished,East,Available,2,2,Main Road,Bangalore
3,Whitefield,4,14286.0,2800.0,10+,Semi-Furnished,East,May be not,3,2,Garden/Park,Bangalore
2,others,1.60,14545.0,1100.0,10+,Unfurnished,West,Available,2,3,"Garden/Park, Pool, Main Road",Bangalore
3,Yelahanka,0.7759999999999999,5969.0,1300.0,1,Unfurnished,East,Available,2,2,Main Road,Bangalore
3,Kengeri,0.652,5000.0,1304.0,1,Unfurnished,North,Available,2,1,Main Road,Bangalore
2,Jayanagar,1.40,11667.0,1200.0,2,Unfurnished,East,Available,2,1,Main Road,Bangalore
3,others,1.30,8176.0,1590.0,2,Semi-Furnished,South - East,May be not,3,2,,Bangalore
4+,others,18.90,24231.0,7800.0,10+,Semi-Furnished,North - East,Available,4+,4,"Garden/Park, Pool, Main Road",Bangalore
4+,others,5.50,11289.0,4872.0,10+,Unfurnished,East,May be not,4+,4+,Main Road,Bangalore
2,JP Nagar,0.59,6146.0,960.0,4,Semi-Furnished,East,May be not,2,2,Main Road,Bangalore
2,others,0.285,2591.0,1100.0,3,Unfurnished,East,May be not,2,1,,Bangalore
3,others,1.05,7516.0,1397.0,3,Unfurnished,North - East,Available,2,1,"Garden/Park, Pool, Main Road",Bangalore
2,others,0.358,3675.0,974.0,3,Unfurnished,East,May be not,2,,Main Road,Bangalore
3,others,1.15,8977.0,1281.0,10,Unfurnished,North - East,May be not,2,1,Main Road,Bangalore
2,Thanisandra,0.9279999999999999,6500.0,1428.0,4,Unfurnished,East,Available,2,1,"Garden/Park, Main Road",Bangalore
2,Hennur Main Road,0.85,8543.0,995.0,5,Semi-Furnished,East,Available,2,2,Garden/Park,Bangalore
2,others,0.654,6346.0,1031.0,5,Unfurnished,North,Available,2,1,,Bangalore
3,Thanisandra,1.80,10976.0,1640.0,4,Semi-Furnished,East,Available,3,3,Main Road,Bangalore
3,others,0.865,6500.0,1331.0,3,Semi-Furnished,East,Available,2,1,Main Road,Bangalore
2,Whitefield,1.24,8999.0,1378.0,8,Unfurnished,East,Available,2,2,"Garden/Park, Main Road",Bangalore
2,Thanisandra,1.99,15152.0,1313.0,10+,Unfurnished,North,Available,2,2,Garden/Park,Bangalore
3,others,1.20,9600.0,1250.0,10+,Unfurnished,,Available,3,2,,Bangalore
3,others,2,10724.0,1865.0,10+,Unfurnished,East,Available,3,2,Garden/Park,Bangalore
3,Hennur Main Road,2.70,11208.0,2409.0,10+,Semi-Furnished,East,Available,3,3,Main Road,Bangalore
3,others,2.12,14000.0,1514.0,1,Unfurnished,North - East,May be not,3,3,Main Road,Bangalore
4+,others,4.50,13158.0,3420.0,2,Semi-Furnished,North,Available,4,4+,Garden/Park,Bangalore
3,others,1.51,7479.0,2019.0,10+,Unfurnished,North,Available,3,1,"Pool, Main Road",Bangalore
3,Whitefield,7.10,17317.0,4100.0,10+,Semi-Furnished,West,May be not,4,2,,Bangalore
3,Sarjapura,1.11,8959.0,1239.0,10,Unfurnished,East,Available,2,1,Garden/Park,Bangalore
2,others,0.6,5455.0,1100.0,10+,Unfurnished,East,Available,2,2,Main Road,Bangalore
3,others,0.922,5359.0,1720.0,1,Semi-Furnished,North,Available,3,3,"Pool, Garden/Park, Main Road",Bangalore
2,others,0.79,7460.0,1059.0,10+,Unfurnished,East,Available,2,1,"Pool, Garden/Park, Main Road",Bangalore
3,Whitefield,4.30,15619.0,2753.0,9,Unfurnished,East,May be not,3,1,Garden/Park,Bangalore
4+,HSR Layout,2.80,23333.0,1200.0,5,Semi-Furnished,South - East,May be not,4+,,Main Road,Bangalore
3,others,7.88,29425.0,2678.0,9,Semi-Furnished,East,Available,4,3,Garden/Park,Bangalore
2,others,0.88,6902.0,1275.0,2,Semi-Furnished,West,Available,2,2,Garden/Park,Bangalore
3,JP Nagar,0.745,5266.0,1415.0,1,Unfurnished,East,Available,2,2,Main Road,Bangalore
4+,others,9.50,16964.0,5600.0,10+,Unfurnished,East,Available,4+,4,"Garden/Park, Pool, Main Road",Bangalore
4,others,5,20833.0,2400.0,2,Unfurnished,North - East,May be not,4,3,"Pool, Main Road",Bangalore
3,Yelahanka,1.12,7330.0,1528.0,4,Unfurnished,North,Available,3,3,Main Road,Bangalore
3,Hennur Main Road,0.98,5802.0,1689.0,2,Semi-Furnished,East,Available,3,2,,Bangalore
3,Jayanagar,6,25000.0,2400.0,4,Unfurnished,East,Available,3,2,"Garden/Park, Main Road",Bangalore
2,others,0.9,6923.0,1300.0,1,Semi-Furnished,North - East,May be not,2,3,"Pool, Garden/Park, Main Road",Bangalore
4,others,7.50,17857.0,4200.0,5,Furnished,West,Available,4,4+,"Pool, Garden/Park",Bangalore
3,others,7,26139.0,2678.0,10+,Unfurnished,East,Available,4,3,Garden/Park,Bangalore
4,others,5,13947.0,3585.0,2,Unfurnished,East,May be not,4,3,,Bangalore
3,others,1.85,9635.0,1920.0,10+,Semi-Furnished,East,Available,3,1,"Garden/Park, Pool",Bangalore
3,others,1.10,7612.0,1445.0,10+,Unfurnished,East,May be not,2,2,"Garden/Park, Pool, Main Road",Bangalore
3,others,1.29,9181.0,1405.0,5,Unfurnished,East,Available,3,1,Main Road,Bangalore
2,Krishnarajapura,0.78,7059.0,1105.0,3,Furnished,North - West,Available,2,,Garden/Park,Bangalore
2,others,1.04,8455.0,1230.0,1,Furnished,North,Available,3,2,"Garden/Park, Pool, Main Road",Bangalore
3,Hennur Main Road,1.75,8979.0,1949.0,3,Unfurnished,East,May be not,3,1,"Garden/Park, Main Road",Bangalore
3,others,0.88,6697.0,1314.0,10+,Unfurnished,East,Available,3,2,Garden/Park,Bangalore
4,others,3.70,9024.0,4100.0,10+,Semi-Furnished,East,May be not,4+,4+,"Garden/Park, Pool, Main Road",Bangalore
2,others,1.10,9167.0,1200.0,2,Semi-Furnished,,May be not,2,,,Bangalore
2,others,0.53,4609.0,1150.0,3,Semi-Furnished,,May be not,2,,,Bangalore
2,others,0.65,5752.0,1130.0,5,Semi-Furnished,East,Available,2,1,Garden/Park,Bangalore
2,others,1.50,10345.0,1450.0,3,Semi-Furnished,East,May be not,2,2,"Garden/Park, Main Road",Bangalore
2,others,0.51,4435.0,1150.0,4,Furnished,East,May be not,2,1,Main Road,Bangalore
4,others,3,15424.0,1945.0,1,Semi-Furnished,,May be not,3,,,Bangalore
3,others,0.55,5000.0,1100.0,10+,Semi-Furnished,West,May be not,2,1,,Bangalore
2,others,1.12,9589.0,1168.0,10+,Semi-Furnished,North,May be not,2,1,"Garden/Park, Main Road",Bangalore
2,others,0.75,6522.0,1150.0,3,Furnished,North - East,May be not,2,2,,Bangalore
2,others,0.75,6356.0,1180.0,1,Unfurnished,East,May be not,2,3,Garden/Park,Bangalore
3,others,1.15,9127.0,1260.0,4,Furnished,,May be not,3,2,,Bangalore
3,others,0.6,4396.0,1365.0,3,Semi-Furnished,,Available,2,2,"Garden/Park, Main Road",Bangalore
4,Whitefield,6.25,15455.0,4044.0,10+,Unfurnished,East,Available,4,3,Garden/Park,Bangalore
2,others,0.95,9013.0,1054.0,3,Semi-Furnished,South,May be not,2,1,Main Road,Bangalore
2,others,0.7,5000.0,1400.0,3,Semi-Furnished,North - East,Available,2,2,"Garden/Park, Pool, Main Road",Bangalore
3,others,0.81,5960.0,1359.0,1,Semi-Furnished,,May be not,2,,,Bangalore
1,others,7.50,31250.0,2400.0,6,Unfurnished,,May be not,4+,1,,Bangalore
2,others,1.50,12397.0,1210.0,10+,Semi-Furnished,South,May be not,2,1,,Bangalore
2,others,0.55,6215.0,885.0,6,Semi-Furnished,North,Available,2,2,Garden/Park,Bangalore
2,others,0.46,4340.0,1060.0,3,Unfurnished,,May be not,2,,,Bangalore
2,Whitefield,1.03,10499.0,981.0,10+,Unfurnished,East,May be not,2,1,Garden/Park,Bangalore
3,Hennur Main Road,1.70,8387.0,2027.0,3,Unfurnished,West,May be not,3,3,,Bangalore
1,others,0.35,5785.0,605.0,2,Unfurnished,North,May be not,1,1,Garden/Park,Bangalore
2,others,0.95,7422.0,1280.0,4,Furnished,,May be not,2,,,Bangalore
2,others,0.64,5387.0,1188.0,2,Unfurnished,,Available,2,1,Main Road,Bangalore
2,others,0.68,6028.0,1128.0,1,,,May be not,2,,,Bangalore
3,others,0.75,4896.0,1532.0,2,Semi-Furnished,East,May be not,3,2,Main Road,Bangalore
3,Jayanagar,3,13636.0,2200.0,1,Semi-Furnished,,May be not,3,2,,Bangalore
2,others,0.68,5965.0,1140.0,4,Semi-Furnished,North,May be not,2,1,"Main Road, Garden/Park, Pool",Bangalore
3,Whitefield,1.40,9340.0,1499.0,3,Unfurnished,East,May be not,3,2,,Bangalore
2,others,1.20,8696.0,1380.0,4,Semi-Furnished,East,May be not,2,1,Garden/Park,Bangalore
2,Whitefield,1,7692.0,1300.0,1,Unfurnished,East,Available,2,2,"Garden/Park, Pool, Main Road",Bangalore
1,others,0.585,9000.0,650.0,8,Unfurnished,North,May be not,1,1,,Bangalore
3,HSR Layout,1.43,9239.0,1548.0,2,Unfurnished,East,Available,2,2,"Garden/Park, Main Road",Bangalore
2,others,0.8,8421.0,950.0,1,Semi-Furnished,West,May be not,2,1,Main Road,Bangalore
3,others,0.9,6667.0,1350.0,1,Unfurnished,East,May be not,2,1,Pool,Bangalore
2,Sarjapura,1.10,11653.0,944.0,10+,Unfurnished,West,May be not,2,1,,Bangalore
2,others,1.15,9656.0,1191.0,,Unfurnished,,May be not,2,,,Bangalore
4,Jayanagar,4.80,14902.0,3221.0,10+,Unfurnished,North,Available,4+,3,"Garden/Park, Main Road",Bangalore
4+,others,5,7143.0,7000.0,6,Furnished,South -West,Available,4+,4+,Main Road,Bangalore
3,JP Nagar,2.05,10240.0,2002.0,10+,Unfurnished,West,May be not,3,2,"Garden/Park, Pool, Main Road",Bangalore
3,others,2.50,13383.0,1868.0,10+,Unfurnished,North,Available,3,2,Main Road,Bangalore
4,others,5,13947.0,3585.0,2,Semi-Furnished,North - East,Available,4,2,Main Road,Bangalore
4,others,7.75,12917.0,6000.0,2,Semi-Furnished,West,Available,4+,4+,Garden/Park,Bangalore
4,others,3.70,12333.0,3000.0,10+,Unfurnished,East,Available,4+,2,"Garden/Park, Pool",Bangalore
2,Krishnarajapura,0.85,6967.0,1220.0,3,Furnished,,May be not,2,,Main Road,Bangalore
3,others,1.90,11515.0,1650.0,5,Unfurnished,North,Available,3,3,Main Road,Bangalore
3,others,3,12029.0,2494.0,2,Unfurnished,North,Available,3,,Garden/Park,Bangalore
3,others,2.15,11467.0,1875.0,2,Semi-Furnished,,Available,3,2,"Garden/Park, Main Road",Bangalore
4,Whitefield,6.10,14838.0,4111.0,10+,Semi-Furnished,East,Available,4+,2,Garden/Park,Bangalore
3,others,0.9940000000000001,6635.0,1498.0,5,Unfurnished,East,Available,3,3,"Garden/Park, Pool, Main Road",Bangalore
3,JP Nagar,0.95,5588.0,1700.0,1,Semi-Furnished,North,Available,3,,"Garden/Park, Main Road",Bangalore
2,Kengeri,0.38,4551.0,835.0,1,Semi-Furnished,,May be not,2,,,Bangalore
3,others,2.75,17241.0,1595.0,10+,Furnished,,May be not,3,,,Bangalore
2,Thanisandra,1.35,12295.0,1098.0,1,Semi-Furnished,,May be not,2,,,Bangalore
2,others,0.75,8333.0,900.0,10,Unfurnished,West,Available,2,1,"Garden/Park, Pool, Main Road",Bangalore
3,others,1.42,7939.0,1789.0,3,Unfurnished,East,Available,3,2,Main Road,Bangalore
2,others,0.55,5978.0,920.0,4,Semi-Furnished,North,May be not,2,1,Main Road,Bangalore
2,others,0.95,10556.0,900.0,3,Semi-Furnished,West,May be not,2,2,,Bangalore
3,others,0.86,5931.0,1450.0,3,Semi-Furnished,East,May be not,2,2,Main Road,Bangalore
3,Jakkur,1.62,9184.0,1764.0,5,Unfurnished,West,Available,3,2,"Garden/Park, Pool, Main Road",Bangalore
3,others,2.32,10087.0,2300.0,3,Furnished,North - West,Available,3,3,,Bangalore
4,others,6.20,18235.0,3400.0,2,Unfurnished,North - East,May be not,4,1,"Garden/Park, Main Road",Bangalore
3,others,0.47,4352.0,1080.0,4,Unfurnished,North,Available,2,1,Main Road,Bangalore
2,others,1.46,11111.0,1314.0,9,Unfurnished,North - East,May be not,2,1,Garden/Park,Bangalore
3,others,2.13,11807.0,1804.0,9,Unfurnished,North - East,Available,3,2,"Garden/Park, Pool",Bangalore
4,others,6,17964.0,3340.0,2,Semi-Furnished,North,May be not,4,4,"Garden/Park, Main Road",Bangalore
3,others,0.95,5476.0,1735.0,2,Furnished,East,Available,3,1,Main Road,Bangalore
3,others,2,11989.0,1668.0,2,Unfurnished,North,Available,3,2,Main Road,Bangalore
3,Bagaluru,1.25,7872.0,1588.0,10+,Unfurnished,West,Available,3,2,Garden/Park,Bangalore
3,others,1.36,8774.0,1550.0,10,Unfurnished,East,Available,3,2,"Garden/Park, Main Road",Bangalore
1,others,0.2,5333.0,375.0,3,Furnished,East,Available,1,1,,Bangalore
2,others,1.49,11920.0,1250.0,10+,Unfurnished,West,May be not,2,1,Garden/Park,Bangalore
3,others,1.27,7427.0,1710.0,3,Unfurnished,North,Available,2,2,Main Road,Bangalore
2,others,0.65,6842.0,950.0,4,Unfurnished,East,May be not,2,1,Main Road,Bangalore
2,Bagaluru,0.85,9361.0,908.0,10+,Unfurnished,,May be not,2,,,Bangalore
3,Thanisandra Main Road,2.90,14464.0,2005.0,10+,Unfurnished,East,May be not,3,1,"Pool, Garden/Park, Main Road",Bangalore
2,others,0.96,8149.0,1178.0,2,Unfurnished,North,May be not,2,,"Garden/Park, Pool, Main Road",Bangalore
3,others,1.0,6305.0,1586.0,4,Unfurnished,North,Available,3,3,"Garden/Park, Main Road",Bangalore
3,others,1.53,7000.0,2186.0,1,Unfurnished,East,Available,3,2,"Garden/Park, Main Road",Bangalore
3,Sarjapura,1.90,11664.0,1629.0,10+,Unfurnished,East,Available,3,2,Garden/Park,Bangalore
3,others,4.50,17308.0,2600.0,3,Semi-Furnished,North,May be not,4,4,Main Road,Bangalore
2,others,0.57,4726.0,1206.0,10+,Unfurnished,East,May be not,2,3,,Bangalore
4,others,3.98,10904.0,3650.0,3,Semi-Furnished,East,Available,3,4+,Main Road,Bangalore
4,others,9.60,20000.0,4800.0,10+,Semi-Furnished,North,Available,4,4,"Garden/Park, Pool, Main Road",Bangalore
2,others,0.99,7952.0,1245.0,5,Semi-Furnished,West,Available,2,1,Main Road,Bangalore
1,others,0.825,9627.0,857.0,2,Semi-Furnished,South,May be not,1,2,Main Road,Bangalore
2,others,0.75,7184.0,1044.0,2,Semi-Furnished,,May be not,2,,,Bangalore
3,others,1.75,10938.0,1600.0,1,Semi-Furnished,East,Available,2,2,Garden/Park,Bangalore
3,others,2,13793.0,1450.0,3,Unfurnished,East,May be not,2,2,Main Road,Bangalore
2,others,1.15,8431.0,1364.0,1,Furnished,,May be not,2,,,Bangalore
2,others,1.30,9723.0,1337.0,6,Semi-Furnished,West,Available,2,2,Garden/Park,Bangalore
2,others,1.32,8829.0,1495.0,10+,Semi-Furnished,North,Available,2,2,Garden/Park,Bangalore
2,others,0.47,4585.0,1025.0,4,Unfurnished,,May be not,2,1,,Bangalore
4+,JP Nagar,3,9554.0,3140.0,10+,Semi-Furnished,North,Available,4+,2,,Bangalore
4,Jayanagar,2.75,16667.0,1650.0,3,Furnished,East,May be not,3,,Main Road,Bangalore
2,JP Nagar,1.20,7843.0,1530.0,7,Semi-Furnished,West,Available,2,4,"Garden/Park, Main Road",Bangalore
2,others,0.6679999999999999,4899.0,1364.0,2,Semi-Furnished,West,Available,2,1,"Garden/Park, Pool, Main Road",Bangalore
4,others,1.80,16364.0,1100.0,1,Furnished,,May be not,4,2,,Bangalore
3,others,1.05,9633.0,1090.0,3,Unfurnished,,Available,2,2,"Garden/Park, Main Road",Bangalore
3,others,0.95,6934.0,1370.0,4,Semi-Furnished,North,May be not,2,1,,Bangalore
2,others,0.95,7983.0,1190.0,2,Semi-Furnished,East,Available,2,,Main Road,Bangalore
2,others,0.96,16000.0,600.0,10+,Unfurnished,East,May be not,2,1,"Main Road, Garden/Park",Bangalore
3,others,2,7380.0,2710.0,2,Semi-Furnished,East,May be not,4,,,Bangalore
3,Thanisandra Main Road,2.70,16119.0,1675.0,2,Unfurnished,North - West,Available,3,1,Garden/Park,Bangalore
3,others,1.35,7584.0,1780.0,1,Semi-Furnished,,May be not,3,,,Bangalore
2,others,0.72,6316.0,1140.0,3,Unfurnished,North - East,May be not,2,1,Main Road,Bangalore
4,others,1.52,7992.0,1902.0,4,Unfurnished,North,May be not,3,1,"Garden/Park, Pool, Main Road",Bangalore
2,others,0.5,4545.0,1100.0,1,Furnished,North - East,May be not,2,1,Main Road,Bangalore
2,others,0.55,3929.0,1400.0,10+,Semi-Furnished,East,Available,2,1,Main Road,Bangalore
2,Whitefield,1.03,7045.0,1462.0,4,Semi-Furnished,,May be not,1,1,,Bangalore
3,others,1.50,9375.0,1600.0,3,Furnished,West,Available,3,1,Main Road,Bangalore
2,others,0.59,4917.0,1200.0,4,Semi-Furnished,North,Available,2,2,Main Road,Bangalore
2,Outer Ring Road,1.45,11647.0,1245.0,5,Furnished,East,Available,2,2,"Garden/Park, Pool, Main Road",Bangalore
3,others,3.50,19696.0,1777.0,2,Unfurnished,East,May be not,3,1,Main Road,Bangalore
2,others,4.50,11250.0,4000.0,2,Semi-Furnished,,May be not,1,1,,Bangalore
2,others,0.52,5103.0,1019.0,4,Semi-Furnished,West,Available,2,2,Main Road,Bangalore
2,others,1,8961.0,1116.0,2,Unfurnished,East,May be not,2,2,"Pool, Main Road, Garden/Park",Bangalore
2,others,0.85,7083.0,1200.0,10+,Unfurnished,East,May be not,2,2,Main Road,Bangalore
2,others,0.42,4800.0,875.0,4,Furnished,,May be not,2,2,,Bangalore
2,others,1.10,11470.0,959.0,8,Semi-Furnished,East,May be not,2,1,,Bangalore
2,others,0.31,3827.0,810.0,4,Semi-Furnished,North,May be not,2,2,Main Road,Bangalore
2,others,1.08,12796.0,844.0,2,Unfurnished,East,Available,2,1,"Garden/Park, Pool, Main Road",Bangalore
2,others,0.785,9812.0,800.0,10+,Semi-Furnished,North - East,May be not,2,1,"Garden/Park, Main Road",Bangalore
3,others,1.55,11071.0,1400.0,3,Furnished,,May be not,3,2,,Bangalore
2,HSR Layout,1.13,9378.0,1205.0,2,Unfurnished,East,Available,2,1,"Garden/Park, Pool, Main Road",Bangalore
3,others,5.95,19833.0,3000.0,4,Unfurnished,East,May be not,4,3,Garden/Park,Bangalore
2,others,0.95,7724.0,1230.0,3,Unfurnished,East,May be not,2,2,"Garden/Park, Pool, Main Road",Bangalore
2,others,0.467,4061.0,1150.0,1,Semi-Furnished,East,Available,2,2,Main Road,Bangalore
3,others,1.40,8610.0,1626.0,5,Unfurnished,,Available,2,,,Bangalore
3,others,1.70,9561.0,1778.0,1,Unfurnished,East,May be not,3,2,Main Road,Bangalore
1,others,1.59,36977.0,430.0,10,Unfurnished,,May be not,1,,,Bangalore
4,others,5.25,13985.0,3754.0,3,Unfurnished,,May be not,4+,2,,Bangalore
2,others,0.45,3750.0,1200.0,4,Unfurnished,East,May be not,2,2,"Pool, Garden/Park, Main Road",Bangalore
2,Jakkur,0.55,5189.0,1060.0,5,Unfurnished,East,May be not,2,1,"Garden/Park, Pool, Main Road",Bangalore
3,others,1.30,7222.0,1800.0,5,Unfurnished,East,Available,4,3,Main Road,Bangalore
4+,others,1.80,12000.0,1500.0,2,Furnished,East,Available,4+,3,,Bangalore
2,others,0.76,7600.0,1000.0,3,Semi-Furnished,,May be not,2,,,Bangalore
3,HSR Layout,2.50,12821.0,1950.0,3,Semi-Furnished,East,May be not,3,2,Main Road,Bangalore
3,others,1.03,6959.0,1480.0,10+,Unfurnished,,May be not,2,2,"Garden/Park, Pool, Main Road",Bangalore
2,others,0.65,7254.0,896.0,3,Unfurnished,East,Available,2,1,,Bangalore
3,others,1.75,10294.0,1700.0,6,Furnished,East,May be not,2,2,"Garden/Park, Main Road",Bangalore
4,others,2.65,10000.0,2650.0,2,Semi-Furnished,,May be not,4,,,Bangalore
2,Thanisandra,3.25,19578.0,1660.0,4,Unfurnished,North - East,Available,3,2,"Garden/Park, Main Road",Bangalore
2,others,0.6,6795.0,883.0,6,Semi-Furnished,South,Available,2,1,Main Road,Bangalore
2,others,1,9091.0,1100.0,2,Unfurnished,,May be not,3,2,,Bangalore
1,others,0.69,11405.0,605.0,10+,Unfurnished,,May be not,1,1,,Bangalore
3,others,1.59,7231.0,2199.0,3,Unfurnished,East,May be not,3,2,Main Road,Bangalore
2,others,0.42,3621.0,1160.0,3,Semi-Furnished,,May be not,2,1,,Bangalore
3,others,1.80,8955.0,2010.0,2,Unfurnished,North,Available,3,2,Main Road,Bangalore
2,others,0.58,6010.0,965.0,2,Semi-Furnished,,May be not,2,2,,Bangalore
4+,others,1.80,14504.0,1241.0,,,,May be not,,,,Bangalore
2,others,1.35,12724.0,1061.0,7,Unfurnished,,Available,2,1,,Bangalore
2,others,0.53,4417.0,1200.0,2,Semi-Furnished,North - East,May be not,2,2,Main Road,Bangalore
2,others,1,5000.0,2000.0,,,,May be not,,,,Bangalore
2,others,0.6,6309.0,951.0,5,Semi-Furnished,East,May be not,2,2,,Bangalore
2,others,0.65,5589.0,1163.0,10+,Unfurnished,,May be not,2,2,,Bangalore
2,others,0.7,6364.0,1100.0,1,Semi-Furnished,North,May be not,2,1,,Bangalore
2,others,0.475,4872.0,975.0,4,Unfurnished,,Available,2,2,,Bangalore
3,others,1.65,6875.0,2400.0,2,Unfurnished,North,Available,3,3,Main Road,Bangalore
3,others,1.70,13600.0,1250.0,3,Semi-Furnished,East,Available,3,2,Main Road,Bangalore
3,others,5.25,17701.0,2966.0,10+,Unfurnished,East,May be not,4,3,"Pool, Garden/Park, Main Road",Bangalore
2,others,1.02,9290.0,1098.0,9,Unfurnished,North,May be not,2,1,Garden/Park,Bangalore
3,Hennur Main Road,1.30,8997.0,1445.0,1,Semi-Furnished,North - East,May be not,3,1,Garden/Park,Bangalore
2,others,1.65,13750.0,1200.0,10+,Semi-Furnished,North - East,Available,4,,Main Road,Bangalore
3,Hebbal,3,15113.0,1985.0,4,Semi-Furnished,East,Available,3,2,Garden/Park,Bangalore
2,others,0.48,4364.0,1100.0,3,Unfurnished,East,Available,2,2,"Garden/Park, Main Road",Bangalore
3,others,0.9,7335.0,1227.0,2,Unfurnished,East,Available,3,1,"Garden/Park, Main Road",Bangalore
2,others,0.495,4714.0,1050.0,2,Unfurnished,West,May be not,2,2,"Pool, Main Road",Bangalore
3,others,3.30,15000.0,2200.0,4,Unfurnished,East,Available,3,2,"Garden/Park, Main Road",Bangalore
3,others,2.50,14706.0,1700.0,3,Unfurnished,North,May be not,3,1,Main Road,Bangalore
2,others,1.15,9705.0,1185.0,3,Unfurnished,,May be not,2,3,,Bangalore
3,others,1.17,7200.0,1625.0,4,Unfurnished,East,Available,3,2,Garden/Park,Bangalore
2,others,0.72,9057.0,795.0,,Unfurnished,,May be not,2,1,,Bangalore
3,others,2,8475.0,2360.0,7,Unfurnished,,May be not,4,2,,Bangalore
